week_ind,day_int,OT,away,attendance,roof_type,humidity_pct,wind_speed,temperature,duration,coach_rating,coach_rating_opp,home_strength,opp_strength
1.0,2,0,1,60128.0,outdoors,59.4390243902439,2.0,90.0,179.0,50.0,63.44843494363923,30.81602126976607,-44.75725581929241
2.0,2,1,0,63137.0,retractable roof (closed),59.4390243902439,8.56071964017991,58.11832611832612,196.0,60.77874789915968,93.49778508771932,5.724825177372336,-12.056337603726716
4.0,2,0,1,68872.0,outdoors,59.4390243902439,8.0,61.0,194.0,138.37579260694324,59.093589595056784,1.6200758525379957,-18.11554014745732
5.0,2,1,0,65612.0,retractable roof (closed),59.4390243902439,8.56071964017991,58.11832611832612,212.0,55.47066258157067,10.115833333333342,12.796490061489688,-19.701623646701734
9.0,2,0,1,71709.0,retractable roof (closed),59.4390243902439,8.56071964017991,58.11832611832612,192.0,85.09291344123861,50.81508497398486,11.169245781899484,-21.486883804140447
15.0,5,0,0,63411.0,retractable roof (closed),59.4390243902439,8.56071964017991,58.11832611832612,180.0,48.76864118967799,93.578090034965,0.7743706801480492,-11.27445332763946
17.0,2,0,0,60557.0,retractable roof (closed),59.4390243902439,8.56071964017991,58.11832611832612,170.0,45.745381981406574,71.8185655314758,4.018538682061102,-23.75193920062805
5.0,2,0,0,71835.0,retractable roof (closed),59.4390243902439,8.56071964017991,58.11832611832612,204.0,84.7788043478261,59.58092929292923,7.537965621822243,-8.357821370702277
8.0,2,0,1,69025.0,outdoors,59.4390243902439,2.0,50.0,199.0,140.84566117430575,84.85121066933641,0.6299439484587026,-8.359045193542542
10.0,2,0,1,60032.0,outdoors,59.4390243902439,8.56071964017991,68.0,186.0,136.11446428571423,83.28723990112991,9.28541867985287,-25.17445080704188
11.0,2,0,0,71680.0,retractable roof (closed),59.4390243902439,8.56071964017991,58.11832611832612,191.0,79.90381740196077,89.6415088478773,3.063582012894914,-28.414899550721287
14.0,2,0,0,71802.0,retractable roof (closed),59.4390243902439,8.56071964017991,58.11832611832612,199.0,81.15846402116406,30.93207070707071,5.441785468873247,-15.290121918049495
