coach_name,coach_link,team_link,home_away,boxscore_id,date,coach_id,team_id,season
Rex Ryan,/coaches/RyanRe0.htm,/teams/nyj/2013.htm,home,201310130nyj,2013-10-13,RyanRe0,nyj,2013
Mike McCarthy,/coaches/McCaMi0.htm,/teams/gnb/2013.htm,away,201310130rav,2013-10-13,McCaMi0,gnb,2013
John Harbaugh,/coaches/HarbJo0.htm,/teams/rav/2013.htm,home,201310130rav,2013-10-13,HarbJo0,rav,2013
Mike Munchak,/coaches/MuncMi0.htm,/teams/oti/2013.htm,away,201310130sea,2013-10-13,MuncMi0,oti,2013
Pete Carroll,/coaches/CarrPe0.htm,/teams/sea/2013.htm,home,201310130sea,2013-10-13,CarrPe0,sea,2013
Bruce Arians,/coaches/AriaBr0.htm,/teams/crd/2013.htm,away,201310130sfo,2013-10-13,AriaBr0,crd,2013
Jim Harbaugh,/coaches/HarbJi0.htm,/teams/sfo/2013.htm,home,201310130sfo,2013-10-13,HarbJi0,sfo,2013
Chip Kelly,/coaches/KellCh0.htm,/teams/phi/2013.htm,away,201310130tam,2013-10-13,KellCh0,phi,2013
Greg Schiano,/coaches/SchiGr0.htm,/teams/tam/2013.htm,home,201310130tam,2013-10-13,SchiGr0,tam,2013
Chuck Pagano,/coaches/PagaCh0.htm,/teams/clt/2013.htm,away,201310140sdg,2013-10-14,PagaCh0,clt,2013
Mike McCoy,/coaches/McCoMi1.htm,/teams/sdg/2013.htm,home,201310140sdg,2013-10-14,McCoMi1,sdg,2013
Pete Carroll,/coaches/CarrPe0.htm,/teams/sea/2013.htm,away,201310170crd,2013-10-17,CarrPe0,sea,2013
Bruce Arians,/coaches/AriaBr0.htm,/teams/crd/2013.htm,home,201310170crd,2013-10-17,AriaBr0,crd,2013
Greg Schiano,/coaches/SchiGr0.htm,/teams/tam/2013.htm,away,201310200atl,2013-10-20,SchiGr0,tam,2013
Mike Smith,/coaches/SmitMi0.htm,/teams/atl/2013.htm,home,201310200atl,2013-10-20,SmitMi0,atl,2013
Jeff Fisher,/coaches/FishJe0.htm,/teams/ram/2013.htm,away,201310200car,2013-10-20,FishJe0,ram,2013
Ron Rivera,/coaches/RiveRo0.htm,/teams/car/2013.htm,home,201310200car,2013-10-20,RiveRo0,car,2013
John Fox,/coaches/FoxxJo0.htm,/teams/den/2013.htm,away,201310200clt,2013-10-20,FoxxJo0,den,2013
Chuck Pagano,/coaches/PagaCh0.htm,/teams/clt/2013.htm,home,201310200clt,2013-10-20,PagaCh0,clt,2013
